"Tipo","Clase","Nombre","Autor","Año","Colección","Estado","Presta","Comunidad","ID","Tel"
"Libro","castellano","brum, brum!",NA,"2005","Infantil","Disponible","","","Number","Number"
"Libro","Filosofia","bzz, bzz!",NA,NA,"infantil","Disponible","Name","Comunity","Number","Number"
"libro","castellano","chip,chap!",NA,"2005","infantil","Disponible","Name","Comunity","Number","Number"
"libro","castellano","cuidado! Escritoras a la vista","berta lucia estrada e","2009","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","hola! Que me lleva la ola","sergio andricain","2005","Infantil","Disponible","Name","Comunity","Number","Number"
"Libro","C. naturales","Bam,Bam!",NA,NA,"Infantil","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","castellano","Que bueno ser Colombiano!","Corporativo","1962","general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","vaya baño!","francesc rovira","2007","Infantil","Disponible","Name","Comunity","Number","Number"
"literatura universal","Filosofia","a que se llama ""drogadiccion""?","Angela Escallon Emiliani","1988","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Cómo funciona el aparato digestivo?","C. Climent C","1987","general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","Cómo van a la escuela los dinosaurios?","Jane Yolen",NA,"Infantil","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","de donde vienen los perros?","rocio parra parra",NA,"infantil","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","Dónde estara el osito peluchin?","Katherine Sully",NA,"Infantil","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","Filosofia","Estan sus hijos experimentando con la sexualidad?","Corporativo","1990","general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","Lees un libro conmigo?","lawrence schimel",NA,"Infantil","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Maestro pueblo o maestro gendarme?","Maria Teresa Nidelcoff","1975","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","C. sociales","Qué es una constitucion?","Ferdinand Lassalle",NA,"general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","Qué hacen papa y mama?","Caterina marassi candia","1995","infantil","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","Quieres conocerme? Me cuesta leer","lidia arrollo","2009","Infantil","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Se acuerda usted de Paco?","Charles Exbrayat","1964","general","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","castellano","9 festival de la comunicación popular","Corporativo","1993","general","Disponible","Name","Comunity","Number","Number"
"diccionario enciclopedico","castellano","a amero","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","a la hora de leer","leonor",NA,"infantil","Disponible","Name","Comunity","Number","Number"
"diccionario enciclopedico larousse","castellano","a-benzonaftol","Corporativo","1979","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","abajo en la 31","adalberto  agudelo  duque","2006",NA,"Disponible","Name","Comunity","Number","Number"
"literatura universal","C. sociales","Abraham lincon, presidente martir","J. H. Bothwell","1963","general","Disponible","Name","Comunity","Number","Number"
"cartilla","C. naturales","abre tus ojos animales bebes","olga colella",NA,NA,"Disponible","Name","Comunity","Number","Number"
"cartilla","C. naturales","abre tus ojos animales del zoologico","olga colella",NA,NA,"Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Acceso a la justicia e inclusion social: el camino hacia el fortalecimiento de la democracia en Bolivia","Corporativo","2007","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Economia","Administracion de pequeñas empresas","SENA",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Economia","Administracion y desarrollo","Corporativo","1975","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Economia","Administracion y desarrollo","Corporativo","1975","general","Disponible","Name","Comunity","Number","Number"
"libro","Filosofia","adolesentes rebeldes y violentos","ciriaco izquierdo moreno",NA,"GENERAL","Disponible","Name","Comunity","Number","Number"
"cartilla","Arte","adornos con lamina metalica","elly de bruin-mostert","2004","general","Disponible","Name","Comunity","Number","Number"
"cartilla","Arte","adornos con lamina metalica","elly de bruin-mostert","2004","general","Disponible","Name","Comunity","Number","Number"
"libro","Filosofia","Aforismos","friedrich nietzsche","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","Filosofia","Aforismos","friedrich nietzsche","2003","general","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","C. naturales","Agroecologia para todos","Corpocaldas","2006","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","aire de tango","Manuel Mejia Vallejo","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","al amoir de los caribes","fray pablo","1994","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Alex basta ya","lidia arroyo","2010","Infantil","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Alexis Carrel","H. Delaye Didier D","1965","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","castellano","Alfabetizacion funcional de adultos","Luis Eduardo Soria","1947","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Algebra 3 y 4, enseñanza media","Gustavo Patiño Duque",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Algebra y Geometria 4","Gustavo Patiño Duque","1979","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Algebra y trigonometria","Elbridge P. Vance","1978","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","agropecuaria","Alimentos 1","Corporativo","2004","general","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","agropecuaria","Almanaque creditario/ caja agraria","caja agraria","1984","general","Disponible","Name","Comunity","Number","Number"
"libro","C. sociales","amazonia","ellen pestili","2010","Infantil","Disponible","Name","Comunity","Number","Number"
"diccionario enciclopedico","castellano","amer avem","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","idiomas","American english course","Corporativo","1974","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","ami regresa/ 2 parte y musica","Enrique Barrios","1997","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Analisis de el tunel ernesto sabato","Corporativo","1991","general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","analisis planeacion y control","philip kotler","1969","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Analisis quimico cualitatativo","Luis J. Curtman","1965","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","andromedad","yaneth piedrahita","2006","Infantil","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Angulos","Corporativo","1982","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","ani croche","bertrand gauthier","1994","general","Disponible","Name","Comunity","Number","Number"
